City Name,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Cherskiy,66,RU,1563558078,79,68.75,161.3,42.25,5.77
Narsaq,75,GL,1563558079,59,60.91,-46.05,62.6,6.93
Vanimo,84,PG,1563558080,75,-2.67,141.3,82.21,5.44
Kieta,100,PG,1563558080,77,-6.22,155.63,79.69,6.31
Saldanha,0,PT,1563558081,21,41.42,-6.55,90.31,13.58
Maceio,75,BR,1563558003,74,-9.67,-35.74,78.8,13.87
Nikolayevsk-na-amure,63,RU,1563558081,99,53.14,140.72,57.37,3.29
Westport,40,US,1563558082,78,41.14,-73.36,90.0,5.82
Provideniya,67,RU,1563558082,82,64.42,-173.23,54.13,4.52
Sur,1,OM,1563558083,85,22.57,59.53,77.17,12.86
Port Macquarie,0,AU,1563558083,70,-31.43,152.91,42.8,4.7
Tulum,40,MX,1563558084,55,20.21,-87.46,91.4,6.93
Iqaluit,75,CA,1563558084,81,63.75,-68.52,48.2,9.17
Torbay,40,CA,1563558085,49,47.66,-52.73,73.99,25.28
Constitucion,75,MX,1563558085,60,23.99,-104.67,73.99,2.24
Tautira,20,PF,1563558086,77,-17.73,-149.15,69.8,4.7
Yerofey Pavlovich,100,RU,1563558086,92,53.97,121.97,55.21,4.81
Taganak,75,PH,1563558087,83,6.08,118.3,80.6,3.36
Saskylakh,72,RU,1563558087,50,71.97,114.09,54.13,9.6
Kutum,37,SD,1563558088,41,14.2,24.66,82.93,7.7
Cubuk,20,TR,1563558088,43,40.24,33.03,77.0,8.05
Mana,98,NG,1563558089,44,13.03,5.27,90.13,10.65
Travesia,75,HN,1563558089,58,15.87,-87.9,87.8,6.93
Tilichiki,100,RU,1563558090,99,60.47,166.1,52.33,5.23
Touros,40,BR,1563558091,78,-5.2,-35.46,80.6,12.75
Bethel,90,US,1563558092,100,60.79,-161.76,53.6,5.82
Selma,80,US,1563558092,49,32.41,-87.02,93.2,3.36
Yellowknife,40,CA,1563558092,45,62.45,-114.38,62.6,5.82
Lompoc,90,US,1563558093,87,34.64,-120.46,66.0,4.7
Bonnyville,75,CA,1563558093,64,54.27,-110.74,68.0,6.93
Codrington,0,AU,1563558094,93,-28.95,153.24,55.99,2.77
Arraial do Cabo,20,BR,1563558094,68,-22.97,-42.02,71.6,20.8
Omarska,0,BA,1563558095,35,44.89,16.9,84.2,2.24
Kuzino,100,RU,1563558095,94,57.02,59.44,66.01,2.04
Vardo,75,US,1563558096,49,39.62,-77.74,96.01,8.05
Kodiak,1,US,1563558096,59,39.95,-94.76,93.99,16.11
Praia da Vitoria,20,PT,1563557980,69,38.73,-27.07,80.6,15.86
Faanui,55,PF,1563558097,73,-16.48,-151.75,76.63,12.59
Kindu,16,CD,1563558098,45,-2.95,25.92,79.51,2.66
Insar,2,RU,1563558098,86,53.87,44.37,61.87,8.41
Lorengau,8,PG,1563558099,83,-2.02,147.27,80.41,10.69
Oban,85,GB,1563558099,78,56.42,-5.47,64.0,0.92
Ponta do Sol,27,BR,1563558099,49,-20.63,-46.0,67.63,8.23
Santa Cruz,61,BR,1563558096,46,-6.22,-36.02,84.01,15.57
Haines Junction,84,CA,1563558100,82,60.75,-137.51,53.59,6.02
Russell,1,US,1563558101,37,38.9,-98.86,100.99,19.46
Birjand,0,IR,1563558101,9,32.86,59.22,87.8,13.87
Belyy Yar,0,RU,1563558102,77,53.6,91.39,66.2,8.95
Benghazi,0,LY,1563557863,67,32.12,20.07,78.61,18.01
Veraval,75,FR,1563558103,53,49.65,0.71,79.0,5.82
Ereymentau,14,KZ,1563558103,52,51.62,73.1,66.73,6.2
Longyearbyen,75,NO,1563558104,66,78.22,15.63,50.0,11.41
Dinklage,0,DE,1563558104,47,52.66,8.12,77.0,9.17
Brownwood,1,US,1563558105,41,31.71,-98.99,91.99,18.34
Mahebourg,75,MU,1563558105,83,-20.41,57.7,71.6,16.11
Zvishavane,7,ZW,1563558105,19,-20.32,30.05,61.51,3.78
Chokurdakh,85,RU,1563558106,87,70.62,147.9,35.95,8.59
Douentza,10,ML,1563558106,25,15.01,-2.95,98.59,12.57
Nelson Bay,0,AU,1563558107,93,-32.72,152.14,51.01,4.7
Yachiyo,75,JP,1563558107,94,35.73,140.1,80.01,3.36
Jieshi,99,CN,1563558107,82,22.82,115.83,84.99,4.16
Qasigiannguit,75,GL,1563558108,93,68.82,-51.19,46.4,8.05
Salalah,75,OM,1563558109,94,17.01,54.1,80.6,3.36
Barrow,85,AR,1563558109,38,-38.31,-60.23,56.11,15.73
Kabo,62,CF,1563558110,93,7.69,18.62,72.49,3.31
Riyadh,9,SA,1563558014,11,24.63,46.72,102.2,19.46
Vostok,0,RU,1563558112,97,46.45,135.83,61.33,2.82
Huarmey,46,PE,1563558112,83,-10.07,-78.15,62.59,9.78
Iglesias,20,ES,1563558113,18,42.3,-3.99,93.99,6.93
Shetpe,16,KZ,1563558113,34,44.14,52.16,87.43,14.45
Ostrovnoy,1,RU,1563558114,92,68.05,39.51,43.15,9.62
Mayo,75,CA,1563558114,52,63.59,-135.9,66.2,3.36
Beisfjord,0,NO,1563558115,40,68.38,17.6,73.4,3.36
Kuala Terengganu,75,MY,1563558115,88,5.33,103.14,80.6,1.12
Kaitangata,100,NZ,1563558116,85,-46.28,169.85,46.99,7.0
Kailua,75,US,1563558048,94,21.39,-157.74,82.4,9.17
Awjilah,0,LY,1563558116,30,29.14,21.3,86.53,18.01
Katsuura,75,JP,1563558117,100,33.93,134.5,75.2,13.87
Sorrento,75,AU,1563558117,81,-31.82,115.75,53.01,17.22
Marsa Matruh,0,EG,1563558118,65,31.35,27.25,80.6,5.82
Mishkino,20,RU,1563558118,52,56.22,46.62,69.8,8.95
Arrifes,40,PT,1563558118,88,37.77,-25.7,73.4,13.87
Atar,0,MR,1563558119,11,20.52,-13.05,105.25,11.45
Deputatskiy,100,RU,1563558119,88,69.3,139.9,35.95,5.64
Betsiamites,90,CA,1563558120,72,48.94,-68.65,64.4,6.93
Landau,75,DE,1563558120,60,51.34,9.08,75.0,4.7
Pisco,90,PE,1563558121,30,-13.71,-76.2,71.6,5.82
Leshukonskoye,7,RU,1563558121,81,64.9,45.76,52.51,3.22
Seoul,40,KR,1563558121,78,37.57,126.98,82.4,1.12
San Cristobal,50,HN,1563558122,39,14.68,-86.92,84.19,10.78
Emba,20,CY,1563557898,78,34.81,32.42,78.8,12.75
Tevaitoa,37,PF,1563558123,80,-16.78,-151.5,75.37,20.98
Puerto Narino,75,CO,1563558123,70,-3.77,-70.38,86.0,3.36
River Falls,1,US,1563558124,74,44.86,-92.63,90.0,5.82
Grand Gaube,75,MU,1563558124,83,-20.01,57.66,71.6,16.11
Afua,99,NG,1563558125,95,5.27,7.87,72.13,5.01
Norman Wells,75,CA,1563558125,72,65.28,-126.83,68.0,6.93
Gainesville,20,US,1563558126,66,29.65,-82.33,93.0,5.82
Matasari,62,RO,1563558126,72,44.85,23.08,68.35,2.68
Nuuk,75,GL,1563558127,81,64.17,-51.74,50.0,9.17
Rovaniemi,0,FI,1563558127,67,66.5,25.72,62.6,6.93
Chamba,32,IN,1563558128,75,32.56,76.12,69.07,5.08
Maniitsoq,100,GL,1563558128,89,65.42,-52.9,44.41,3.74
Shache,4,CN,1563558129,13,38.42,77.24,84.91,6.6
Mama,20,MX,1563558129,59,20.48,-89.36,89.6,10.29
Oyama,75,JP,1563558129,94,36.31,139.8,82.0,3.36
Cidreira,83,BR,1563558130,60,-30.17,-50.22,69.43,2.37
Sault Sainte Marie,1,CA,1563558130,52,46.49,-84.36,89.6,12.75
Boiu Mare,40,RO,1563558131,44,47.4,23.58,75.2,4.7
Henties Bay,0,NA,1563558017,80,-22.12,14.28,60.01,5.01
Urengoy,6,RU,1563558132,54,65.96,78.37,72.67,13.13
Port-Gentil,75,GA,1563558075,83,-0.72,8.78,78.8,11.41
Avarua,2,CK,1563557925,100,-21.21,-159.78,66.2,2.24
Baykit,0,RU,1563558133,67,61.68,96.39,50.17,7.43
Ambon,90,FR,1563558133,77,47.55,-2.56,71.01,9.17
Aljezur,4,PT,1563558134,75,37.31,-8.8,84.99,1.01
Sorland,0,NO,1563558134,63,67.67,12.69,69.8,11.41
Honiara,20,SB,1563558135,94,-9.43,159.96,75.2,8.16
Broome,75,GB,1563558136,88,52.47,1.45,66.99,11.41
Souillac,0,FR,1563558136,39,45.6,-0.6,87.01,3.36
Silver City,1,US,1563558137,28,32.77,-108.28,89.01,17.22
Bahia Blanca,98,AR,1563557854,23,-38.72,-62.27,58.99,21.85
Ust-Tarka,20,RU,1563558137,95,55.56,75.71,63.85,7.43
Walcz,96,PL,1563558138,75,53.28,16.47,73.0,3.0
Bethanien,0,NA,1563558138,56,-26.5,17.16,51.07,9.35
Pizarro,12,CO,1563558139,80,4.95,-77.37,81.31,9.73
Port Hedland,31,AU,1563558139,93,-20.31,118.58,64.4,5.82
Plettenberg Bay,95,ZA,1563558139,78,-34.05,23.37,48.73,17.49
Viransehir,0,TR,1563558140,31,37.24,39.76,81.31,8.19
Maracaju,44,BR,1563558069,40,-21.61,-55.17,81.13,6.71
Egvekinot,100,RU,1563558141,97,66.32,-179.17,47.29,7.2
Hailar,100,CN,1563558141,97,49.2,119.7,64.75,8.63
Lerwick,20,GB,1563558141,87,60.15,-1.15,64.4,5.82
Nawa,25,IN,1563558142,50,27.02,75.0,89.77,6.78
Paamiut,100,GL,1563558143,87,61.99,-49.67,45.67,7.11
Fairbanks,75,US,1563558143,67,64.84,-147.72,64.0,5.82
Aklavik,75,CA,1563558144,87,68.22,-135.01,59.0,4.7
Turukhansk,0,RU,1563558144,51,65.8,87.96,61.69,11.95
Petropavlovsk-Kamchatskiy,20,RU,1563558145,93,53.05,158.65,59.0,6.71
Ketchikan,90,US,1563557869,93,55.34,-131.65,57.2,11.41
Mercedes,92,UY,1563558146,56,-33.25,-58.03,71.01,4.0
Port Blair,94,IN,1563558146,82,11.67,92.75,83.29,11.86
Carnarvon,53,ZA,1563558147,70,-30.97,22.13,44.41,14.29
Derzhavinsk,50,KZ,1563558147,37,51.1,66.31,78.79,5.91
Kudahuvadhoo,99,MV,1563558147,75,2.67,72.89,84.01,17.76
Taltal,0,CL,1563558148,54,-25.41,-70.49,63.31,4.79
Mwene-Ditu,0,CD,1563558148,28,-7.01,23.45,71.05,2.46
Bainbridge,1,US,1563558149,79,30.9,-84.58,93.0,5.82
Vung Tau,99,VN,1563558149,88,10.35,107.08,78.97,8.08
Quatre Cocos,75,MU,1563558150,83,-20.21,57.76,71.6,16.11
Allapalli,96,IN,1563558150,92,19.43,80.06,77.71,3.22
Rio Grande,0,BR,1563557870,60,-32.03,-52.1,71.6,8.05
Xingcheng,49,CN,1563558151,93,40.62,120.71,68.89,2.77
Talnakh,0,RU,1563558152,59,69.49,88.39,60.8,8.95
Ilulissat,75,GL,1563558153,93,69.22,-51.1,46.4,8.05
Cruzeiro do Sul,75,BR,1563558153,66,-7.63,-72.67,86.0,3.36
Coihaique,75,CL,1563557890,80,-45.58,-72.07,42.8,3.36
Thinadhoo,89,MV,1563557876,75,0.53,72.93,83.11,16.11
Uribia,19,CO,1563558154,46,11.71,-72.27,94.09,17.13
Nador,75,MA,1563558155,83,35.17,-2.93,77.0,5.82
Labytnangi,88,RU,1563558155,85,66.66,66.39,59.35,2.55
Cockburn Town,40,TC,1563557859,59,21.46,-71.14,91.4,18.34
Anadyr,75,RU,1563558156,77,64.73,177.51,59.0,4.47
Prykolotne,76,UA,1563558157,87,50.16,37.35,62.41,6.06
Duiwelskloof,0,ZA,1563558158,15,-23.69,30.14,58.81,7.56
Goma,41,CD,1563558159,86,-1.67,29.23,57.55,0.76
Noshiro,62,JP,1563558159,95,40.21,140.05,63.13,2.75
Wakkanai,54,JP,1563558159,93,45.41,141.67,65.29,12.5
Inirida,24,CO,1563558161,88,3.87,-67.92,83.11,3.31
Rongcheng,7,CN,1563558161,48,37.16,122.42,71.01,1.01
Nantucket,40,US,1563558142,78,41.28,-70.1,79.0,8.05
Burhaniye,20,TR,1563558162,45,39.51,26.98,84.2,18.34
Enshi,92,CN,1563558162,94,30.29,109.48,67.09,3.74
Karla,0,EE,1563558163,52,59.37,24.93,70.0,11.41
Ahipara,0,NZ,1563558163,73,-35.17,173.16,57.73,20.15
Maningrida,52,AU,1563558163,84,-12.05,134.23,60.07,7.83
Hofn,75,IS,1563558164,76,64.25,-15.21,55.4,12.75
Flinders,0,AU,1563558164,81,-34.58,150.85,50.0,10.29
Clyde River,75,CA,1563558165,93,70.47,-68.59,42.8,16.11
Kavaratti,100,IN,1563558165,76,10.57,72.64,81.67,21.52
Pochutla,40,MX,1563558165,52,15.74,-96.47,91.99,5.23
Dukat,14,AL,1563558166,44,40.25,19.57,78.01,7.0
Alekseyevka,0,RU,1563558166,47,53.25,50.49,77.0,2.24
Vao,38,EE,1563558167,91,59.1,26.19,60.43,2.35
Linxia,0,CN,1563558167,60,35.6,103.21,54.49,8.57
Yarmouth,20,CA,1563558168,78,43.84,-66.12,71.6,8.05
Nsanje,31,MZ,1563558168,43,-16.92,35.26,71.23,4.76
Ribas do Rio Pardo,71,BR,1563558169,33,-20.45,-53.76,84.55,6.93
Khorol,20,UA,1563558169,78,49.78,33.27,64.57,3.98
Aktau,0,KZ,1563558169,42,43.65,51.16,86.0,15.66
Scottsbluff,1,US,1563558170,31,41.87,-103.67,91.0,6.93
Dikson,15,RU,1563558171,82,73.51,80.55,40.27,21.39
Buala,22,SB,1563558171,84,-8.15,159.59,78.07,7.05
Khuzhir,35,RU,1563558172,95,53.19,107.35,55.75,0.87
Mayor Pablo Lagerenza,66,PY,1563558172,42,-19.93,-60.77,88.33,8.19
Shar,98,NG,1563558173,95,7.3,8.73,73.21,3.44
Tabas,0,IR,1563558173,8,33.6,56.92,105.8,6.93
Kaseda,100,JP,1563558174,88,31.42,130.32,78.01,13.0
Gisborne,100,NZ,1563558022,99,-38.66,178.02,51.01,4.09
Guerrero Negro,0,MX,1563558175,86,27.97,-114.04,65.83,13.58
Lodja,0,CD,1563558176,34,-3.52,23.6,79.87,2.17
Le Moule,40,GP,1563558176,66,16.33,-61.35,87.8,13.87
San Quintin,100,PH,1563558177,93,17.54,120.52,74.29,2.95
Granard,96,IE,1563558177,96,53.78,-7.49,63.67,3.4
Caranavi,34,BO,1563558177,87,-15.83,-67.57,59.35,3.67
Vasudevanallur,100,IN,1563558178,98,9.24,77.41,68.35,6.38
Les Cayes,54,HT,1563558179,76,18.19,-73.75,83.47,19.66
Hambantota,100,LK,1563558179,74,6.12,81.12,82.57,30.15
Hope,40,US,1563558179,62,33.67,-93.59,88.0,11.41
Itoman,75,JP,1563558180,83,26.12,127.67,84.2,20.8
Wonthaggi,51,AU,1563558181,79,-38.6,145.59,51.01,1.01
Khatima,61,IN,1563558181,57,28.92,79.97,86.53,5.37
Zalantun,100,CN,1563558182,93,48.0,122.72,66.37,4.41
Markova,0,RU,1563558182,82,52.21,104.21,66.2,4.47
Sistranda,75,NO,1563558183,93,63.73,8.83,60.01,4.7
Mwinilunga,10,ZM,1563558183,40,-11.73,24.43,59.71,4.27
Muisne,40,EC,1563558184,74,0.61,-80.02,86.0,5.82
Rehoboth,0,NA,1563558057,12,-23.31,17.08,54.85,7.81
Coatesville,1,US,1563557945,62,39.98,-75.82,93.99,5.82
Oyabe,90,JP,1563558185,83,36.68,136.87,79.0,3.36
Colares,20,PT,1563558186,68,38.8,-9.45,80.6,27.51
Kalabo,22,ZM,1563558186,21,-15.0,22.67,63.85,5.44
Prieska,25,ZA,1563558187,74,-29.67,22.74,47.47,17.43
Hasaki,75,JP,1563558187,94,35.73,140.83,77.0,3.36
Nushki,0,PK,1563558187,34,29.55,66.02,84.73,6.8
Chernyshevskiy,0,RU,1563558188,73,63.01,112.47,45.85,5.61
North Platte,1,US,1563558188,46,41.12,-100.77,93.99,4.5
La Ronge,75,CA,1563558189,64,55.1,-105.3,71.6,16.11
Mar del Plata,77,AR,1563558189,39,-46.43,-67.52,46.39,28.5
Raton,1,US,1563558190,15,36.9,-104.44,93.99,5.82
Mananjary,86,MG,1563558190,67,-19.16,46.8,62.77,7.23
Vieques,20,PR,1563558191,66,18.43,-65.83,93.0,13.87
Zapolyarnyy,75,RU,1563558192,93,69.43,30.82,53.6,4.7
Piacabucu,16,BR,1563558192,77,-10.41,-36.43,76.27,15.93
Conceicao da Barra,47,BR,1563558082,56,-18.59,-39.73,74.11,10.6
Kultuk,100,RU,1563558193,39,51.73,103.71,62.01,2.64
Virginia Beach,75,US,1563557538,62,36.85,-75.98,93.99,3.36
Progreso,0,UY,1563558194,63,-34.68,-56.22,68.0,9.17
Bocos,100,PH,1563558194,95,16.93,121.08,60.79,2.44
Sechura,0,PE,1563558194,92,-5.56,-80.82,61.15,14.18
Iralaya,40,HN,1563558195,70,15.0,-83.23,87.8,11.41
Bolshoy Lug,0,RU,1563558195,82,52.08,104.09,66.2,4.47
Khilchipur,73,IN,1563558196,41,24.05,76.58,92.65,5.03
Namatanai,73,PG,1563558196,83,-3.66,152.44,79.33,15.03
Kavieng,12,PG,1563558197,76,-2.57,150.8,83.47,13.15
Makakilo City,90,US,1563558198,100,21.35,-158.09,82.4,12.88
Coolum Beach,1,AU,1563558198,95,-26.53,153.09,52.0,2.68
Tezu,93,IN,1563558199,78,27.93,96.16,76.45,3.8
Nyurba,0,RU,1563558199,71,63.29,118.35,44.41,4.7
Skibbereen,75,IE,1563558200,82,51.55,-9.27,64.4,19.46
Tura,0,RU,1563558200,71,64.27,100.22,48.55,5.32
Mount Gambier,100,AU,1563558201,87,-37.83,140.78,48.2,12.75
Vredendal,55,ZA,1563558201,71,-31.68,18.49,55.21,20.78
Geraldton,20,CA,1563558202,57,49.72,-86.95,77.0,12.75
Tuatapere,44,NZ,1563558202,97,-46.13,167.69,45.0,1.99
Juneau,90,US,1563558203,100,58.3,-134.42,57.2,10.29
Hamilton,90,CA,1563557986,83,43.26,-79.87,90.0,16.11
Bhatkal,100,IN,1563558204,85,13.97,74.57,79.15,23.53
Portland,20,US,1563557376,50,43.66,-70.25,88.0,12.75
Killybegs,40,IE,1563558204,72,54.63,-8.45,60.8,9.17
Sardhana,4,IN,1563558205,56,29.15,77.61,87.61,2.19
Port Hawkesbury,1,CA,1563558206,57,45.62,-61.36,81.0,8.05
Port Lavaca,40,US,1563558207,63,28.61,-96.63,95.0,16.11
Montagnana,0,IT,1563558207,40,43.67,11.1,87.8,8.05
Kayerkan,0,RU,1563558208,59,69.35,87.76,60.8,8.95
Rorvik,0,NO,1563558208,82,64.86,11.24,66.2,8.05
Havre-Saint-Pierre,1,CA,1563558209,33,50.23,-63.6,77.0,5.82
Hibbing,40,US,1563558209,68,47.43,-92.94,73.99,13.38
Araouane,23,ML,1563558210,15,18.9,-3.53,107.41,7.45
Padang,100,ID,1563558210,79,-0.92,100.36,80.95,2.75
Raudeberg,20,NO,1563558211,77,61.99,5.14,64.4,6.93
Taksimo,99,RU,1563558211,89,56.36,114.84,55.39,3.94
Hantsport,20,CA,1563558211,50,45.06,-64.18,82.0,6.93
Roanoke Rapids,1,US,1563558142,75,36.46,-77.65,95.0,8.05
Kalevala,100,FI,1563558212,92,64.12,29.58,55.57,3.98
Marawi,80,PH,1563558213,91,8.0,124.29,77.0,7.0
Fortuna,0,ES,1563558213,38,38.18,-1.13,87.8,17.22
Talcahuano,75,CL,1563558214,76,-36.72,-73.12,55.4,10.29
Baghdad,0,IQ,1563558214,23,33.3,44.38,98.6,16.11
Laredo,1,US,1563558052,37,27.51,-99.51,99.0,19.46
Nizwa,18,OM,1563558215,44,22.93,57.53,86.17,5.88
Igrim,40,RU,1563558215,78,63.19,64.42,58.99,1.61
